Average IMDb Rating,Number of IMDb Votes,Bechdel Test Rating,Movie Title,Year,Genres
8.1,103551.0,0,The General,1926,"Action,Adventure,Comedy"
7.5,2067.0,0,For Heaven's Sake,1926,"Action,Comedy,Romance"
6.5,257.0,3,So's Your Old Man,1926,"Comedy,Romance"
7.8,7413.0,1,The Adventures of Prince Achmed,1926,"Adventure,Animation,Drama"
7.2,3845.0,3,It,1927,"Comedy,Romance"
8.3,195887.0,1,Metropolis,1927,"Drama,Sci-Fi"
8.2,9454.0,2,Napoleon,1927,"Biography,Drama,History"
7.7,9899.0,0,The Unknown,1927,"Drama,Horror,Romance"
8.1,55654.0,2,Sunrise,1927,"Drama,Romance"
7.6,5101.0,0,The Kid Brother,1927,"Comedy,Drama,Family"
6.1,144.0,0,Nevada,1927,"Drama,Western"
7.4,990.0,3,My Best Girl,1927,"Comedy,Romance"
7.5,15575.0,1,Wings,1927,"Action,Drama,Romance"
6.4,11591.0,1,The Jazz Singer,1927,"Drama,Music,Musical"
6.0,3340.0,1,Downhill,1927,"Adventure,Drama,Thriller"
7.1,3641.0,3,The Cat and the Canary,1927,"Comedy,Horror,Mystery"
8.1,65814.0,0,The Passion of Joan of Arc,1928,"Biography,Drama,History"
7.6,4629.0,0,Speedy,1928,"Action,Comedy,Family"
8.1,37617.0,0,The Circus,1928,"Comedy,Family,Romance"
8.0,14016.0,0,The Cameraman,1928,"Comedy,Drama,Family"
7.8,17039.0,0,"Steamboat Bill, Jr.",1928,"Action,Comedy,Drama"
6.6,1769.0,0,The Racket,1928,"Crime,Drama,Film-Noir"
7.4,1452.0,0,Beggars of Life,1928,"Adventure,Crime,Drama"
6.4,366.0,1,The Power of the Press,1928,Drama
6.6,919.0,0,A Girl in Every Port,1928,"Action,Adventure,Comedy"
7.4,2875.0,3,The Patsy,1928,"Comedy,Drama,Romance"
6.5,282.0,2,While the City Sleeps,1928,"Action,Crime,Drama"
7.6,8788.0,2,The Man Who Laughs,1928,"Drama,Horror,Mystery"
8.0,9735.0,1,The Crowd,1928,"Drama,Romance"
7.5,5340.0,2,The Docks of New York,1928,"Crime,Drama,Film-Noir"
6.7,2126.0,2,Our Dancing Daughters,1928,Drama
6.8,8564.0,2,The Cocoanuts,1929,"Comedy,Musical,Romance"
5.9,870.0,0,Welcome Danger,1929,Comedy
7.7,12554.0,3,Pandora's Box,1929,"Crime,Drama,Romance"
8.3,29437.0,0,Man with a Movie Camera,1929,Documentary
6.9,12996.0,2,Blackmail,1929,"Crime,Drama,Mystery"
6.5,1085.0,0,A Throw of Dice,1929,"Adventure,Drama,Romance"
4.6,2698.0,3,Juno and the Paycock,1929,"Comedy,Drama"
5.5,8651.0,3,The Broadway Melody,1929,"Drama,Musical,Romance"
7.6,17134.0,1,The Blue Angel,1930,"Drama,Music,Romance"
8.1,70407.0,0,All Quiet on the Western Front,1930,"Drama,War"
6.5,3718.0,3,Anna Christie,1930,"Drama,Romance"
6.6,1785.0,3,Ladies of Leisure,1930,"Drama,Romance"
7.2,15360.0,0,L'Age d'Or,1930,"Comedy,Drama"
7.0,8028.0,1,Morocco,1930,"Drama,Romance"
6.7,1978.0,3,Min and Bill,1930,"Comedy,Drama"
5.7,244.0,2,Be Yourself!,1930,"Comedy,Musical"
6.3,1363.0,3,The Bat Whispers,1930,"Crime,Drama,Horror"
6.3,7510.0,3,Murder!,1930,"Crime,Drama,Mystery"
7.4,15759.0,3,Animal Crackers,1930,"Comedy,Family,Musical"
8.3,178316.0,3,M,1931,"Crime,Mystery,Thriller"
7.5,4113.0,3,Mädchen in Uniform,1931,"Drama,Romance"
7.0,4898.0,3,Night Nurse,1931,"Comedy,Crime,Drama"
7.8,84096.0,1,Frankenstein,1931,"Drama,Horror,Sci-Fi"
6.9,970.0,3,Anna Christie,1931,Drama
6.5,4121.0,3,Mata Hari,1931,"Crime,Drama,Romance"
7.4,6719.0,0,Tabu: A Story of the South Seas,1931,"Adventure,Drama,Romance"
6.2,1601.0,3,Indiscreet,1931,"Comedy,Musical,Romance"
6.9,1428.0,0,The Last Flight,1931,Drama
6.8,3007.0,0,Pardon Us,1931,"Comedy,Crime,Drama"
7.3,62469.0,2,Dracula,1931,"Drama,Fantasy,Horror"
7.4,14706.0,1,Monkey Business,1931,"Comedy,Family,Musical"
8.5,208563.0,3,City Lights,1931,"Comedy,Drama,Romance"
7.1,4271.0,2,The Smiling Lieutenant,1931,"Comedy,Musical,Romance"
6.3,887.0,3,The Cheat,1931,"Drama,Romance"
7.6,24075.0,3,The Public Enemy,1931,"Crime,Drama"
7.5,5159.0,3,The Bitch,1931,"Crime,Drama,Romance"
7.4,5160.0,1,À Nous la Liberté,1931,"Comedy,Musical"
7.2,15202.0,1,Little Caesar,1931,"Action,Crime,Drama"
5.7,3830.0,3,The Skin Game,1931,Drama
5.7,5193.0,2,East of Shanghai,1931,"Comedy,Drama,Romance"
7.0,5448.0,3,Drácula,1931,"Drama,Fantasy,Horror"
5.8,7410.0,3,Cimarron,1931,"Drama,Western"
7.7,1830.0,1,"Hyppolit, the Butler",1931,Comedy
6.3,1113.0,3,Skippy,1931,"Comedy,Drama,Family"
7.2,3842.0,1,The Champ,1931,"Drama,Family,Sport"
8.2,15170.0,1,I Am a Fugitive from a Chain Gang,1932,"Crime,Drama,Film-Noir"
7.3,21781.0,3,Grand Hotel,1932,"Drama,Romance"
6.0,472.0,2,The Age of Consent,1932,"Drama,Romance"
7.5,13843.0,1,Horse Feathers,1932,"Comedy,Family,Musical"
6.2,12285.0,0,White Zombie,1932,Horror
7.2,6517.0,1,Boudu Saved from Drowning,1932,Comedy
7.8,6556.0,1,"I Was Born, But...",1932,"Comedy,Drama"
7.1,14874.0,0,The Most Dangerous Game,1932,"Action,Adventure,Horror"
7.8,53050.0,2,Freaks,1932,"Drama,Horror"
7.3,11801.0,1,Island of Lost Souls,1932,"Film-Noir,Horror,Sci-Fi"
7.0,14137.0,3,The Old Dark House,1932,"Adventure,Comedy,Drama"
6.9,2217.0,3,Merrily We Go to Hell,1932,"Comedy,Drama,Romance"
5.3,102.0,2,The Girl from Calgary,1932,"Comedy,Musical"
7.4,21890.0,3,Vampyr,1932,"Fantasy,Horror"
7.3,11322.0,3,Shanghai Express,1932,"Adventure,Drama,Film-Noir"
7.1,4649.0,3,Three on a Match,1932,"Crime,Drama,Romance"
7.5,4925.0,2,Love Me Tonight,1932,"Comedy,Musical,Romance"
7.7,32152.0,1,Scarface,1932,"Action,Crime,Drama"
7.0,3834.0,3,Red-Headed Woman,1932,"Comedy,Drama,Romance"
6.0,1607.0,1,The Death Kiss,1932,"Comedy,Crime,Drama"
6.2,2106.0,3,Thirteen Women,1932,"Crime,Drama,Horror"
6.8,1476.0,1,The Blue Light,1932,"Drama,Fantasy,Mystery"
5.7,5820.0,0,Number 17,1932,"Crime,Mystery,Thriller"
6.9,4651.0,3,The Bitter Tea of General Yen,1932,"Drama,Romance,War"
7.5,6422.0,3,Footlight Parade,1933,"Comedy,Musical,Romance"
7.5,9028.0,3,Queen Christina,1933,"Biography,Drama,History"
7.0,5195.0,1,The Private Life of Henry VIII,1933,"Biography,Drama,History"
7.9,94076.0,0,King Kong,1933,"Adventure,Horror"
7.2,8313.0,3,Little Women,1933,"Drama,Family,Romance"
6.3,2862.0,3,Alice in Wonderland,1933,"Adventure,Family,Fantasy"
5.8,3270.0,3,The Vampire Bat,1933,"Drama,Horror,Mystery"
7.3,13512.0,3,42nd Street,1933,"Comedy,Drama,Musical"
6.5,291.0,3,Day of Reckoning,1933,Drama
7.7,64404.0,1,Duck Soup,1933,"Comedy,Musical"
5.6,447.0,3,Tomorrow at Seven,1933,"Comedy,Crime,Drama"
7.7,9569.0,3,Gold Diggers of 1933,1933,"Comedy,Drama,Musical"
6.7,2023.0,3,Female,1933,"Comedy,Drama,Romance"
5.6,1307.0,3,A Study in Scarlet,1933,"Drama,Horror,Mystery"
7.6,42354.0,1,The Invisible Man,1933,"Horror,Sci-Fi"
7.5,8762.0,3,Baby Face,1933,"Drama,Romance"
7.4,8291.0,1,Design for Living,1933,"Comedy,Mystery,Romance"
5.8,6376.0,3,Cavalcade,1933,"Drama,Romance,War"
6.8,4401.0,1,The Kennel Murder Case,1933,"Crime,Drama,Mystery"
6.3,7427.0,2,She Done Him Wrong,1933,"Comedy,Drama,History"
7.5,10087.0,3,Sons of the Desert,1933,"Comedy,Family"
8.1,117334.0,3,It Happened One Night,1934,"Comedy,Romance"
6.6,1434.0,1,The Cat's-Paw,1934,Comedy
7.5,7661.0,3,The Scarlet Empress,1934,"Drama,History,Romance"
6.5,1822.0,1,The Painted Veil,1934,"Drama,Romance"
7.4,3583.0,1,The Count of Monte Cristo,1934,"Action,Adventure,Crime"
6.8,4989.0,1,Cleopatra,1934,"Biography,Drama,History"
7.0,8851.0,1,Of Human Bondage,1934,"Drama,Film-Noir,Romance"
7.7,18234.0,0,L'Atalante,1934,"Drama,Romance"
6.8,3835.0,0,The Lost Patrol,1934,"Action,Adventure,Drama"
5.4,947.0,3,Spitfire,1934,Drama
3.7,2837.0,3,Maniac,1934,"Horror,Sci-Fi"
7.0,1529.0,3,Anne of Green Gables,1934,"Comedy,Drama,Family"
4.2,145.0,2,Lost in the Stratosphere,1934,"Action,Adventure,Comedy"
6.0,793.0,3,Search for Beauty,1934,"Comedy,Crime,Romance"
6.9,1929.0,3,Evelyn Prentice,1934,"Drama,Mystery,Romance"
6.7,22657.0,3,The Man Who Knew Too Much,1934,"Crime,Drama,Mystery"
7.5,6024.0,3,Imitation of Life,1934,"Comedy,Drama,Romance"
4.7,559.0,0,Mystery Liner,1934,"Adventure,Mystery"
7.1,5961.0,3,It's a Gift,1934,Comedy
7.7,21595.0,2,Top Hat,1935,"Comedy,Musical,Romance"
7.6,64378.0,3,The 39 Steps,1935,"Crime,Mystery,Thriller"
7.0,6017.0,2,Anna Karenina,1935,"Drama,Romance"
7.6,25949.0,1,Mutiny on the Bounty,1935,"Adventure,Biography,Drama"
6.5,1651.0,3,Naughty Marietta,1935,"Drama,Musical,Romance"
7.0,3808.0,3,Roberta,1935,"Comedy,Musical,Romance"
6.8,1214.0,3,Magnificent Obsession,1935,"Drama,Romance"
7.8,35782.0,1,A Night at the Opera,1935,"Comedy,Music,Musical"
7.8,56153.0,3,Bride of Frankenstein,1935,"Drama,Horror,Sci-Fi"
5.9,216.0,2,The Lady in Scarlet,1935,"Mystery,Romance"
5.8,405.0,2,The Riverside Murder,1935,"Crime,Mystery"
7.2,6220.0,2,Mad Love,1935,"Horror,Romance,Sci-Fi"
7.4,15227.0,1,Swing Time,1936,"Comedy,Musical,Romance"
8.5,275244.0,0,Modern Times,1936,"Comedy,Drama,Romance"
7.0,5685.0,1,The Charge of the Light Brigade,1936,"Action,Adventure,Romance"
7.1,6424.0,1,San Francisco,1936,"Drama,Music,Romance"
7.0,4095.0,2,Wife vs. Secretary,1936,"Comedy,Drama,Romance"
7.5,15624.0,3,The Petrified Forest,1936,"Drama,Thriller"
7.8,24330.0,3,Mr. Deeds Goes to Town,1936,"Comedy,Drama,Romance"
6.7,2067.0,3,Born to Dance,1936,"Comedy,Musical,Romance"
3.4,1974.0,0,Revolt of the Zombies,1936,"Adventure,Horror"
6.3,528.0,1,Earthworm Tractors,1936,Comedy
7.2,2729.0,3,Osaka Elegy,1936,"Comedy,Drama"
7.1,3137.0,3,Theodora Goes Wild,1936,"Comedy,Mystery,Romance"
6.6,9464.0,3,The Great Ziegfeld,1936,"Drama,Musical"
5.3,486.0,3,The Mandarin Mystery,1936,"Comedy,Crime,Film-Noir"
7.7,4328.0,3,The Only Son,1936,Drama
7.3,9190.0,3,Camille,1936,"Drama,Romance"
6.6,849.0,3,Pennies from Heaven,1936,"Comedy,Drama,Music"
6.5,2354.0,3,Romeo and Juliet,1936,"Drama,Romance"
7.0,3661.0,3,Bullets or Ballots,1936,"Crime,Drama,Film-Noir"
7.9,27762.0,2,My Man Godfrey,1936,"Comedy,Drama,Romance"
7.0,19954.0,3,Sabotage,1936,"Crime,Thriller"
7.8,14397.0,2,Fury,1936,"Crime,Drama,Film-Noir"
5.8,334.0,3,The Criminal Within,1936,"Crime,Mystery,Romance"
7.4,3288.0,2,These Three,1936,"Drama,Romance"
6.4,9457.0,3,Secret Agent,1936,"Crime,Drama,Mystery"
6.3,8703.0,3,Dracula's Daughter,1936,"Drama,Fantasy,Horror"
7.4,8181.0,1,Shall We Dance,1937,"Comedy,Musical,Romance"
7.7,9508.0,3,Stage Door,1937,"Comedy,Drama,Romance"
7.4,6745.0,3,Stella Dallas,1937,"Drama,Romance"
6.5,1814.0,2,Conquest,1937,"Drama,History,Mystery"
7.2,8834.0,2,Topper,1937,"Comedy,Fantasy,Romance"
7.6,15286.0,2,Lost Horizon,1937,"Adventure,Drama,Fantasy"
7.6,5298.0,1,The Prisoner of Zenda,1937,"Adventure,Drama,Romance"
6.8,1560.0,2,Knight Without Armor,1937,"Adventure,Drama,History"
5.3,592.0,2,Parnell,1937,"Biography,Drama,Romance"
7.6,232341.0,3,Snow White and the Seven Dwarfs,1937,"Adventure,Animation,Family"
7.5,15064.0,2,A Day at the Races,1937,"Comedy,Family,Musical"
6.8,7567.0,0,Nothing Sacred,1937,"Comedy,Drama,Fantasy"
8.1,10265.0,3,Make Way for Tomorrow,1937,"Drama,Romance"
5.7,837.0,1,Murder at the Baskervilles,1937,"Crime,Mystery"
7.7,8435.0,2,Pépé le Moko,1937,"Crime,Drama,Romance"
7.7,22572.0,3,The Awful Truth,1937,"Comedy,Romance"
6.8,11652.0,3,Young and Innocent,1937,"Crime,Drama,Mystery"
7.1,5295.0,3,Marked Woman,1937,"Crime,Drama,Film-Noir"
7.4,2059.0,3,"Bizarre, Bizarre",1937,Comedy
7.1,9648.0,1,The Life of Emile Zola,1937,"Biography,Drama"
6.9,2031.0,3,Wee Willie Winkie,1937,"Adventure,Family"
7.9,11540.0,0,Captains Courageous,1937,"Adventure,Drama,Family"
6.9,4520.0,2,Carefree,1938,"Comedy,Musical,Romance"
7.7,59794.0,3,The Lady Vanishes,1938,"Crime,Drama,Mystery"
7.7,19487.0,3,Holiday,1938,"Comedy,Romance"
7.5,3567.0,0,The Dawn Patrol,1938,"Drama,War"
7.4,15861.0,2,Jezebel,1938,"Drama,Romance"
6.7,2225.0,2,The Sisters,1938,Drama
7.2,6700.0,0,Boys Town,1938,"Biography,Drama,Family"
5.9,1359.0,1,"Mr. Wong, Detective",1938,"Adventure,Crime,Drama"
7.9,56561.0,2,The Adventures of Robin Hood,1938,"Action,Adventure,Romance"
7.1,5017.0,2,Bluebeard's Eighth Wife,1938,"Comedy,Romance"
7.8,68678.0,3,Bringing Up Baby,1938,Comedy
6.9,2370.0,3,Four Daughters,1938,"Drama,Music,Romance"
6.7,3044.0,3,The Mad Miss Manton,1938,"Comedy,Mystery"
7.5,2577.0,1,The Baker's Wife,1938,"Comedy,Drama"
7.9,24223.0,1,Angels with Dirty Faces,1938,"Crime,Drama,Film-Noir"
8.1,453567.0,3,The Wizard of Oz,1939,"Adventure,Family,Fantasy"
8.2,348605.0,3,Gone with the Wind,1939,"Drama,Romance,War"
7.1,6135.0,2,Dodge City,1939,Western
7.7,15688.0,3,The Women,1939,"Comedy,Drama"
7.8,56962.0,3,Stagecoach,1939,"Adventure,Drama,Western"
7.5,20833.0,2,Wuthering Heights,1939,"Drama,Romance"
7.9,12055.0,2,"Goodbye, Mr. Chips",1939,"Drama,Romance"
7.8,24086.0,3,Ninotchka,1939,"Comedy,Romance"
6.9,2671.0,2,Juarez,1939,"Biography,Drama,History"
7.4,13070.0,3,Dark Victory,1939,"Drama,Romance"
7.0,6467.0,2,The Private Lives of Elizabeth and Essex,1939,"Biography,Drama,History"
7.5,9658.0,2,Young Mr. Lincoln,1939,"Biography,Drama"
7.0,5200.0,2,Jesse James,1939,"Drama,Western"
7.0,7138.0,2,Drums Along the Mohawk,1939,"Drama,Romance,War"
7.0,1235.0,2,The Story of Alexander Graham Bell,1939,"Biography,Drama,History"
6.7,6047.0,0,The Flying Deuces,1939,"Comedy,Family,War"
7.8,12916.0,0,The Hunchback of Notre Dame,1939,"Drama,Romance"
6.8,6632.0,2,At the Circus,1939,"Comedy,Musical"
4.8,1775.0,3,The Gorilla,1939,"Comedy,Horror"
5.8,1042.0,1,Mr. Wong in Chinatown,1939,"Adventure,Crime,Drama"
7.8,7280.0,1,Of Mice and Men,1939,"Adventure,Drama"
7.9,32652.0,3,The Rules of the Game,1939,"Comedy,Drama"
6.3,2998.0,3,Babes in Arms,1939,"Comedy,Musical"
7.6,13123.0,3,Destry Rides Again,1939,"Comedy,Western"
6.5,1530.0,3,Nancy Drew... Reporter,1939,"Comedy,Crime,Family"
7.2,7890.0,3,The Adventures of Sherlock Holmes,1939,"Crime,Mystery,Thriller"
8.1,126850.0,2,Mr. Smith Goes to Washington,1939,"Comedy,Drama"
6.3,11854.0,3,Jamaica Inn,1939,"Adventure,Crime,Drama"
7.7,8675.0,2,Daybreak,1939,"Crime,Drama,Romance"
6.6,5185.0,0,Gulliver's Travels,1939,"Adventure,Animation,Comedy"
7.3,6906.0,3,Love Affair,1939,"Comedy,Drama,Romance"
7.2,13346.0,0,Gunga Din,1939,"Adventure,Comedy,War"
7.6,16639.0,2,Only Angels Have Wings,1939,"Adventure,Drama,Romance"
7.5,167722.0,1,Pinocchio,1940,"Adventure,Animation,Comedy"
8.1,159819.0,3,Rebecca,1940,"Drama,Mystery,Romance"
7.4,15360.0,0,The Thief of Bagdad,1940,"Adventure,Family,Fantasy"
7.7,6564.0,3,The Mortal Storm,1940,Drama
6.6,1908.0,2,Comrade X,1940,"Comedy,Romance"
7.0,4026.0,1,Boom Town,1940,"Adventure,Drama,Romance"
6.9,3153.0,0,Strange Cargo,1940,"Adventure,Drama,Romance"
6.6,3896.0,0,The Return of Frank James,1940,"Drama,Western"
7.4,5668.0,2,"All This, and Heaven Too",1940,"Drama,Romance"
7.5,15381.0,2,The Letter,1940,"Crime,Drama,Film-Noir"
8.1,105920.0,3,The Grapes of Wrath,1940,Drama
7.2,4593.0,0,A Chump at Oxford,1940,"Comedy,Family"
4.7,2194.0,3,The Ape,1940,"Horror,Sci-Fi"
6.2,4416.0,1,Santa Fe Trail,1940,"Drama,War,Western"
7.8,66063.0,3,His Girl Friday,1940,"Comedy,Drama,Romance"
7.6,11237.0,3,The Sea Hawk,1940,"Action,Adventure,History"
8.4,250509.0,3,The Great Dictator,1940,"Comedy,Drama,War"
7.4,9698.0,3,Pride and Prejudice,1940,"Comedy,Drama,Romance"
6.8,1947.0,3,Primrose Path,1940,"Drama,Mystery,Romance"
5.4,752.0,2,Chamber of Horrors,1940,"Drama,Horror,Mystery"
6.8,3347.0,3,"Dance, Girl, Dance",1940,"Comedy,Drama,Music"
7.8,76711.0,3,The Philadelphia Story,1940,"Comedy,Romance"
7.7,108545.0,0,Fantasia,1940,"Animation,Family,Fantasy"
6.3,246.0,3,Anne of Windy Poplars,1940,"Drama,Romance"
7.3,5696.0,3,Angel Street,1940,"Drama,Mystery,Romance"
5.7,247.0,3,The Last Alarm,1940,"Action,Adventure,Crime"
7.4,25208.0,1,Foreign Correspondent,1940,"Action,Drama,Romance"
8.0,41893.0,3,The Shop Around the Corner,1940,"Comedy,Drama,Romance"
6.7,2258.0,1,Knute Rockne All American,1940,"Biography,Drama,Family"
6.2,2081.0,2,Two-Faced Woman,1941,"Comedy,Mystery,Romance"
6.5,3113.0,3,The Shanghai Gesture,1941,"Crime,Drama,Film-Noir"
7.9,171596.0,1,The Maltese Falcon,1941,"Crime,Drama,Film-Noir"
8.3,484273.0,1,Citizen Kane,1941,"Drama,Mystery"
7.2,147934.0,2,Dumbo,1941,"Adventure,Animation,Drama"
7.9,13759.0,2,The Little Foxes,1941,"Drama,Romance"
7.7,24719.0,2,The Lady Eve,1941,"Comedy,Romance"
7.6,5021.0,3,The Devil and Miss Jones,1941,"Comedy,Romance"
6.9,1514.0,1,Mr. Bug Goes to Town,1941,"Animation,Comedy,Family"
7.5,20435.0,1,High Sierra,1941,"Action,Adventure,Drama"
7.2,33101.0,2,The Wolf Man,1941,"Horror,Mystery,Romance"
6.4,869.0,3,Cheers for Miss Bishop,1941,"Drama,Romance"
6.6,1312.0,1,Men of Boys Town,1941,Drama
7.3,8243.0,0,The Invaders,1941,"Drama,Thriller,War"
7.0,4946.0,3,Buck Privates,1941,"Comedy,Musical,War"
7.2,4489.0,3,Hold That Ghost,1941,"Comedy,Crime,Horror"
7.6,15853.0,3,Meet John Doe,1941,"Comedy,Drama,Romance"
7.9,29926.0,3,Sullivan's Travels,1941,"Adventure,Comedy,Drama"
5.8,545.0,3,Murder by Invitation,1941,"Comedy,Crime,Drama"
7.1,2100.0,1,Ladies in Retirement,1941,"Crime,Drama,Film-Noir"
7.3,45186.0,3,Suspicion,1941,"Drama,Film-Noir,Mystery"
7.1,2107.0,0,Sun Valley Serenade,1941,Comedy
7.7,28122.0,3,How Green Was My Valley,1941,"Drama,Family"
6.7,4088.0,3,The Reluctant Dragon,1941,"Animation,Comedy,Family"
5.2,2682.0,3,King of the Zombies,1941,"Adventure,Comedy,Horror"
7.7,15179.0,2,Ball of Fire,1941,"Comedy,Romance"
7.3,8182.0,3,The Major and the Minor,1942,"Comedy,Romance"
7.8,20114.0,3,"Now, Voyager",1942,"Drama,Romance"
8.5,636354.0,1,Casablanca,1942,"Drama,Romance,War"
7.6,28019.0,2,The Magnificent Ambersons,1942,"Drama,Romance"
7.3,160894.0,1,Bambi,1942,"Adventure,Animation,Drama"
7.1,1956.0,1,Son of Fury: The Story of Benjamin Blake,1942,"Drama,Romance"
7.0,4047.0,3,For Me and My Gal,1942,"Musical,Romance,War"
5.7,621.0,3,I Married an Angel,1942,"Comedy,Fantasy,Musical"
7.2,27591.0,3,Cat People,1942,"Fantasy,Horror,Thriller"
4.3,1357.0,0,Black Dragons,1942,"Horror,Thriller,War"
7.5,3388.0,0,There Was a Father,1942,Drama
7.3,2674.0,2,Tales of Manhattan,1942,"Comedy,Drama,Romance"
7.5,9441.0,3,The Man Who Came to Dinner,1942,"Comedy,Romance"
7.1,11491.0,3,Woman of the Year,1942,"Comedy,Drama,Romance"
8.1,47687.0,0,To Be or Not to Be,1942,"Comedy,Romance,War"
6.5,7061.0,1,Sherlock Holmes and the Secret Weapon,1942,"Adventure,Crime,Drama"
7.1,29084.0,1,Saboteur,1942,"Drama,Thriller,War"
7.1,29084.0,1,Saboteur,1942,"Drama,Thriller,War"
7.6,20535.0,3,Mrs. Miniver,1942,"Drama,Romance,War"
4.6,3722.0,1,The Corpse Vanishes,1942,"Horror,Sci-Fi"
6.6,987.0,3,The Gay Sisters,1942,"Drama,Romance"
7.4,4083.0,3,Old Acquaintance,1943,"Drama,Romance"
7.1,5314.0,3,Watch on the Rhine,1943,"Drama,Thriller"
6.8,2367.0,1,Girl Crazy,1943,"Comedy,Musical"
7.0,14820.0,3,I Walked with a Zombie,1943,"Drama,Fantasy,Horror"
6.3,1278.0,1,The Sky's the Limit,1943,"Comedy,Musical,Romance"
7.5,10540.0,0,Sahara,1943,"Action,Drama,War"
6.6,2368.0,0,Guadalcanal Diary,1943,"Drama,War"
6.2,1083.0,3,Tender Comrade,1943,"Drama,Romance,War"
8.1,11652.0,3,Day of Wrath,1943,"Drama,History"
8.0,17613.0,2,The Life and Death of Colonel Blimp,1943,"Drama,Romance,War"
